EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
2.430,6.534,4.075,0.349,5.274,2.237,0.130,0.305,0.034,0.997,-0.204,-0.793,0.336,-0.061,100.000,41849.000,1.000
2.239,6.136,3.296,0.887,4.297,2.222,-0.505,1.854,0.034,0.997,-0.202,-0.732,0.366,-0.092,100.000,41850.000,1.000
2.365,5.689,2.498,1.124,3.074,1.702,-1.550,2.992,0.036,0.997,-0.200,-0.549,0.336,-0.122,100.000,41851.000,1.000
2.201,4.915,1.261,0.390,1.406,0.729,-2.592,3.506,0.034,1.000,-0.203,-0.488,0.305,-0.061,100.000,41852.000,1.000
1.169,3.591,-0.641,-1.553,-0.692,-0.448,-3.210,3.329,0.034,0.999,-0.203,-0.458,0.366,-0.244,100.000,41853.000,1.000
-0.807,1.775,-2.984,-4.199,-2.902,-1.564,-3.175,2.534,0.032,0.999,-0.203,-0.488,0.366,-0.244,100.000,41854.000,1.000
-3.261,-0.280,-5.181,-6.556,-4.774,-2.448,-2.554,1.211,0.033,0.997,-0.205,-0.427,0.458,-0.214,100.000,41855.000,1.000
-5.514,-2.228,-6.632,-7.796,-5.963,-2.946,-1.614,-0.531,0.034,0.997,-0.203,-0.305,0.397,-0.031,100.000,41856.000,1.000
-7.137,-3.767,-7.120,-7.765,-6.409,-3.006,-0.751,-2.405,0.034,0.997,-0.203,-0.305,0.336,0.122,100.000,41857.000,1.000
-8.208,-4.864,-7.027,-7.032,-6.479,-2.889,-0.490,-4.100,0.034,0.997,-0.205,-0.275,0.366,0.000,100.000,41858.000,1.000
-9.100,-5.791,-7.056,-6.454,-6.795,-3.079,-1.261,-5.527,0.035,0.999,-0.207,-0.244,0.427,0.000,100.000,41859.000,1.000
-9.949,-6.721,-7.585,-6.517,-7.693,-3.774,-2.939,-6.666,0.035,0.998,-0.206,-0.183,0.427,-0.031,100.000,41860.000,1.000
-10.437,-7.397,-8.359,-6.982,-8.864,-4.553,-4.701,-7.285,0.034,0.999,-0.202,-0.244,0.458,0.000,100.000,41861.000,1.000
-10.228,-7.438,-8.911,-7.266,-9.684,-4.754,-5.571,-7.124,0.035,1.000,-0.204,-0.214,0.519,0.061,100.000,41862.000,1.000
-9.550,-6.921,-9.192,-7.182,-9.882,-4.227,-5.301,-6.401,0.034,1.000,-0.203,-0.244,0.519,0.092,100.000,41863.000,1.000
-9.091,-6.374,-9.521,-7.057,-9.666,-3.481,-4.548,-5.733,0.036,0.999,-0.203,-0.305,0.488,0.000,100.000,41864.000,1.000
-9.132,-6.173,-9.900,-7.010,-9.160,-3.017,-3.967,-5.337,0.033,1.000,-0.203,-0.366,0.366,0.092,100.000,41865.000,1.000
-8.964,-6.117,-9.696,-6.432,-8.044,-2.686,-3.371,-4.703,0.031,1.000,-0.203,-0.397,0.336,0.092,100.000,41866.000,1.000
-7.435,-5.695,-8.174,-4.480,-5.920,-1.825,-1.990,-3.139,0.032,1.000,-0.203,-0.366,0.427,0.122,100.000,41867.000,1.000
-4.080,-4.638,-5.223,-0.962,-2.850,0.028,0.611,-0.373,0.032,1.000,-0.203,-0.519,0.305,0.061,100.000,41868.000,1.000
0.371,-3.173,-1.533,3.352,0.513,2.531,3.840,3.151,0.031,0.999,-0.204,-0.488,0.275,0.092,100.000,41869.000,1.000
4.435,-1.875,1.735,7.127,3.169,4.527,6.213,6.257,0.031,0.999,-0.204,-0.519,0.244,0.153,100.000,41870.000,1.000
6.779,-1.239,3.569,9.159,4.276,4.793,6.366,7.629,0.033,0.999,-0.205,-0.488,0.214,0.122,100.000,41871.000,1.000
6.929,-1.287,3.686,9.009,3.714,3.022,4.131,6.771,0.035,0.999,-0.204,-0.549,0.275,0.061,100.000,41872.000,1.000
5.389,-1.576,2.610,7.198,2.173,0.033,0.652,4.324,0.033,0.999,-0.204,-0.519,0.122,0.031,100.000,41873.000,1.000
3.168,-1.612,1.176,4.783,0.605,-2.960,-2.382,1.431,0.033,0.998,-0.207,-0.549,0.061,0.061,100.000,41874.000,1.000
1.063,-1.227,-0.015,2.703,-0.420,-5.104,-3.726,-1.018,0.033,0.996,-0.207,-0.519,0.000,0.153,100.000,41875.000,1.000
-0.652,-0.596,-0.738,1.368,-0.910,-6.194,-3.343,-2.632,0.034,0.994,-0.208,-0.458,0.000,0.031,100.000,41876.000,1.000
-1.950,0.067,-0.959,0.695,-1.149,-6.516,-2.293,-3.307,0.033,0.994,-0.207,-0.458,0.031,0.153,100.000,41877.000,1.000
-2.714,0.760,-0.660,0.462,-1.278,-6.365,-1.763,-3.015,0.035,0.993,-0.207,-0.397,0.000,0.214,100.000,41878.000,1.000
-2.774,1.577,0.111,0.568,-1.229,-5.790,-2.236,-1.864,0.035,0.995,-0.205,-0.366,-0.122,0.122,100.000,41879.000,1.000
-2.129,2.441,1.157,0.978,-0.950,-4.772,-3.317,-0.287,0.037,0.996,-0.205,-0.305,0.000,0.153,100.000,41880.000,1.000
-1.006,3.137,2.221,1.603,-0.482,-3.399,-4.048,1.072,0.037,0.996,-0.204,-0.183,-0.092,0.183,100.000,41881.000,1.000
0.199,3.452,3.089,2.257,0.093,-1.894,-3.630,1.684,0.037,0.998,-0.206,-0.183,0.000,0.214,100.000,41882.000,1.000
1.024,3.213,3.572,2.671,0.612,-0.534,-2.108,1.339,0.037,0.996,-0.206,-0.214,0.000,0.244,100.000,41883.000,1.000
1.248,2.490,3.668,2.739,0.970,0.476,-0.355,0.316,0.039,0.996,-0.205,-0.275,0.061,0.153,100.000,41884.000,1.000
1.078,1.659,3.659,2.672,1.237,0.959,0.591,-0.637,0.040,0.995,-0.204,-0.153,0.092,0.122,100.000,41885.000,1.000
0.820,1.003,3.800,2.706,1.471,0.745,0.254,-0.897,0.038,0.994,-0.206,-0.153,0.214,0.031,100.000,41886.000,1.000
0.641,0.529,4.140,2.948,1.639,-0.019,-0.925,-0.455,0.038,0.995,-0.208,-0.183,0.214,0.092,100.000,41887.000,1.000
0.705,0.318,4.726,3.573,1.816,-0.750,-1.896,0.355,0.039,0.995,-0.207,-0.153,0.214,-0.031,100.000,41888.000,1.000
1.113,0.520,5.532,4.622,2.101,-0.952,-1.859,1.195,0.037,0.997,-0.207,-0.061,0.275,0.092,100.000,41889.000,1.000
1.663,1.004,6.156,5.566,2.354,-0.644,-0.825,1.794,0.036,0.998,-0.206,-0.092,0.305,-0.183,100.000,41890.000,1.000
1.989,1.360,6.004,5.605,2.334,-0.143,0.665,2.119,0.036,0.999,-0.206,-0.061,0.397,-0.153,100.000,41891.000,1.000
1.807,1.129,4.724,4.309,1.893,0.239,1.973,2.311,0.034,0.999,-0.208,-0.092,0.397,0.031,100.000,41892.000,1.000
0.984,-0.018,2.347,1.751,0.932,0.256,2.523,2.245,0.034,0.999,-0.206,-0.122,0.305,-0.153,100.000,41893.000,1.000
-0.332,-1.978,-0.639,-1.532,-0.529,-0.158,2.066,1.627,0.035,1.001,-0.204,-0.092,0.244,-0.275,100.000,41894.000,1.000
-1.720,-4.124,-3.426,-4.641,-2.251,-0.894,0.807,0.474,0.033,1.001,-0.205,-0.183,0.244,-0.244,100.000,41895.000,1.000
-2.752,-5.664,-5.277,-6.639,-3.900,-1.847,-0.815,-0.778,0.033,1.002,-0.205,-0.214,0.153,-0.275,100.000,41896.000,1.000
-3.035,-5.891,-5.657,-6.816,-4.992,-2.732,-2.173,-1.413,0.033,1.000,-0.206,-0.214,0.092,-0.305,100.000,41897.000,1.000
-2.140,-4.374,-4.257,-4.908,-4.915,-2.893,-2.498,-0.767,0.033,1.001,-0.206,-0.305,0.214,-0.366,100.000,41898.000,1.000
0.039,-1.397,-1.363,-1.428,-3.439,-1.821,-1.385,1.227,0.031,0.998,-0.207,-0.305,0.305,-0.244,100.000,41899.000,1.000
2.949,1.969,2.002,2.400,-1.070,0.251,0.794,3.876,0.032,0.998,-0.205,-0.397,0.183,-0.092,100.000,41900.000,1.000
5.713,4.606,4.706,5.387,1.394,2.612,3.218,6.240,0.031,0.999,-0.205,-0.336,0.061,-0.031,100.000,41901.000,1.000
7.787,6.092,6.265,7.109,3.513,4.729,5.180,7.719,0.032,0.997,-0.208,-0.488,0.092,0.031,100.000,41902.000,1.000
9.047,6.596,6.818,7.785,5.136,6.235,6.138,8.044,0.033,0.999,-0.205,-0.427,0.031,0.031,100.000,41903.000,1.000
9.416,6.314,6.519,7.636,5.971,6.637,5.562,7.026,0.033,0.998,-0.207,-0.397,0.061,0.122,100.000,41904.000,1.000
8.768,5.348,5.338,6.629,5.699,5.598,3.291,4.723,0.032,1.000,-0.206,-0.458,0.031,0.183,100.000,41905.000,1.000
7.178,3.964,3.382,4.791,4.432,3.432,-0.028,1.702,0.033,0.999,-0.206,-0.519,-0.092,0.244,100.000,41906.000,1.000
4.990,2.557,1.056,2.423,2.674,0.912,-3.230,-1.245,0.032,0.998,-0.207,-0.519,-0.092,0.244,100.000,41907.000,1.000
2.595,1.275,-1.204,-0.082,0.841,-1.324,-5.373,-3.536,0.034,1.000,-0.206,-0.580,-0.214,0.366,100.000,41908.000,1.000
0.406,0.043,-3.076,-2.353,-0.838,-2.830,-6.012,-4.801,0.033,1.002,-0.208,-0.549,-0.153,0.366,100.000,41909.000,1.000
-1.056,-1.059,-4.214,-3.949,-2.031,-3.131,-5.089,-4.796,0.034,1.004,-0.207,-0.641,-0.244,0.549,100.000,41910.000,1.000
-1.487,-1.791,-4.409,-4.526,-2.379,-1.998,-2.944,-3.673,0.034,1.006,-0.204,-0.763,-0.275,0.458,100.000,41911.000,1.000
-1.127,-2.036,-3.859,-4.176,-1.863,0.120,-0.365,-2.097,0.035,1.005,-0.204,-0.885,-0.305,0.519,100.000,41912.000,1.000
-0.545,-1.800,-3.053,-3.427,-0.855,2.323,1.692,-0.947,0.036,1.004,-0.206,-1.007,-0.336,0.458,100.000,41913.000,1.000
-0.261,-1.142,-2.456,-2.943,0.121,3.933,2.585,-0.905,0.036,0.999,-0.205,-1.160,-0.336,0.427,100.000,41914.000,1.000
-0.552,-0.259,-2.328,-3.187,0.631,4.819,2.255,-2.077,0.036,0.993,-0.209,-1.160,-0.275,0.458,100.000,41915.000,1.000
-1.436,0.462,-2.687,-4.229,0.480,5.199,1.126,-3.928,0.039,0.992,-0.209,-1.129,-0.244,0.366,100.000,41916.000,1.000
-2.690,0.602,-3.332,-5.720,-0.242,5.254,-0.190,-5.666,0.040,0.990,-0.209,-0.977,-0.122,0.183,100.000,41917.000,1.000
-3.902,0.017,-3.892,-6.923,-1.094,5.018,-1.066,-6.551,0.039,0.990,-0.209,-0.824,-0.122,0.183,100.000,41918.000,1.000
-4.618,-0.942,-3.915,-6.925,-1.350,4.568,-1.006,-6.028,0.038,0.990,-0.212,-0.732,-0.031,0.183,100.000,41919.000,1.000
-4.618,-1.668,-3.144,-5.179,-0.448,4.094,0.071,-4.016,0.040,0.992,-0.213,-0.549,0.122,0.000,100.000,41920.000,1.000
-4.133,-1.894,-1.874,-2.103,1.417,3.757,1.728,-1.132,0.042,0.993,-0.209,-0.488,0.275,-0.031,100.000,41921.000,1.000
-3.713,-1.962,-0.872,0.994,3.308,3.652,3.401,1.638,0.043,0.996,-0.209,-0.427,0.366,0.031,100.000,41922.000,1.000
-3.682,-2.344,-0.700,2.860,4.306,3.813,4.750,3.620,0.044,0.993,-0.208,-0.366,0.427,0.031,100.000,41923.000,1.000
-3.800,-3.085,-1.205,3.157,4.091,4.000,5.494,4.702,0.040,0.991,-0.211,-0.244,0.488,-0.061,100.000,41924.000,1.000
-3.576,-3.822,-1.758,2.428,2.900,3.645,5.324,5.061,0.037,0.993,-0.209,-0.122,0.580,-0.244,100.000,41925.000,1.000
-2.734,-4.127,-1.792,1.491,1.255,2.289,4.159,4.853,0.037,0.997,-0.208,0.000,0.610,-0.519,100.000,41926.000,1.000
-1.360,-3.797,-1.214,0.810,-0.376,-0.059,2.084,4.028,0.037,1.002,-0.206,0.061,0.793,-0.580,100.000,41927.000,1.000
0.292,-2.955,-0.362,0.376,-1.766,-2.901,-0.684,2.441,0.036,1.005,-0.204,-0.061,0.824,-0.702,100.000,41928.000,1.000
2.102,-1.849,0.472,0.119,-2.734,-5.298,-3.396,0.283,0.031,1.004,-0.204,-0.214,0.763,-0.732,100.000,41929.000,1.000
4.074,-0.670,1.303,0.186,-2.988,-6.221,-4.798,-1.795,0.030,1.005,-0.204,-0.336,0.763,-0.854,100.000,41930.000,1.000
6.083,0.440,2.278,0.830,-2.331,-5.265,-4.079,-2.974,0.030,1.006,-0.202,-0.488,0.610,-0.977,100.000,41931.000,1.000
7.712,1.321,3.390,2.107,-0.942,-3.136,-1.700,-2.689,0.028,1.005,-0.199,-0.671,0.580,-0.946,100.000,41932.000,1.000
8.292,1.738,4.295,3.561,0.574,-1.201,0.932,-1.080,0.027,1.006,-0.205,-0.702,0.427,-0.885,100.000,41933.000,1.000
7.302,1.525,4.449,4.381,1.534,-0.357,2.627,1.025,0.026,1.005,-0.204,-0.763,0.305,-0.885,100.000,41934.000,1.000
4.841,0.769,3.504,4.018,1.616,-0.431,3.074,2.716,0.027,1.002,-0.203,-0.854,0.122,-0.854,100.000,41935.000,1.000
1.550,-0.294,1.447,2.447,0.851,-0.691,2.525,3.449,0.026,1.002,-0.204,-0.916,0.031,-0.641,100.000,41936.000,1.000
-1.787,-1.471,-1.471,-0.034,-0.640,-0.629,1.329,3.016,0.026,1.001,-0.202,-0.854,-0.214,-0.763,100.000,41937.000,1.000
-4.448,-2.534,-4.693,-2.934,-2.615,-0.244,-0.188,1.497,0.026,1.001,-0.202,-0.885,-0.305,-0.702,100.000,41938.000,1.000
-5.951,-3.181,-7.389,-5.629,-4.582,0.198,-1.693,-0.645,0.025,1.003,-0.202,-0.885,-0.488,-0.519,100.000,41939.000,1.000
-6.189,-3.221,-8.787,-7.542,-5.935,0.488,-2.875,-2.696,0.027,1.003,-0.202,-0.854,-0.702,-0.275,100.000,41940.000,1.000
-5.284,-2.686,-8.490,-8.288,-6.248,0.524,-3.547,-4.078,0.028,1.003,-0.199,-0.946,-0.854,-0.122,100.000,41941.000,1.000
