EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-2.952,-1.614,-2.435,0.654,1.622,0.440,5.281,5.637,0.047,0.977,-0.283,-1.160,0.122,0.244,100.000,74146.000,1.000
-1.753,-0.410,-1.560,1.383,2.740,2.120,6.437,5.923,0.049,0.978,-0.284,-1.068,0.122,0.092,100.000,74147.000,1.000
-0.100,1.019,-0.758,1.991,3.164,2.697,6.192,5.674,0.049,0.979,-0.286,-1.038,0.183,0.366,100.000,74148.000,1.000
1.257,1.815,-0.469,2.071,2.496,1.829,4.570,4.827,0.048,0.979,-0.284,-1.068,0.275,0.214,100.000,74149.000,1.000
1.823,1.669,-0.626,1.675,1.105,0.021,2.239,3.607,0.049,0.981,-0.283,-1.068,0.427,0.214,100.000,74150.000,1.000
1.516,0.868,-0.838,1.125,-0.244,-1.846,0.119,2.306,0.049,0.984,-0.281,-1.129,0.458,0.153,100.000,74151.000,1.000
0.575,-0.147,-0.820,0.667,-0.983,-3.151,-1.157,1.109,0.049,0.983,-0.279,-1.099,0.519,0.000,100.000,74152.000,1.000
-0.527,-1.028,-0.571,0.365,-1.050,-3.776,-1.514,0.078,0.047,0.985,-0.281,-1.221,0.610,-0.061,100.000,74153.000,1.000
-1.125,-1.465,-0.130,0.305,-0.655,-3.795,-1.153,-0.649,0.045,0.983,-0.281,-1.282,0.610,-0.031,100.000,74154.000,1.000
-0.638,-1.229,0.590,0.693,0.049,-3.211,-0.226,-0.768,0.045,0.981,-0.280,-1.221,0.671,0.092,100.000,74155.000,1.000
0.970,-0.359,1.634,1.558,0.930,-2.219,0.970,-0.206,0.045,0.982,-0.278,-1.251,0.610,-0.214,100.000,74156.000,1.000
3.186,0.891,2.934,2.621,1.774,-1.417,1.757,0.540,0.045,0.983,-0.279,-1.282,0.671,-0.214,100.000,74157.000,1.000
5.424,2.324,4.463,3.613,2.475,-1.343,1.500,0.837,0.044,0.983,-0.279,-1.343,0.610,-0.214,100.000,74158.000,1.000
7.348,3.878,6.216,4.519,3.171,-1.919,0.217,0.559,0.041,0.982,-0.276,-1.373,0.488,-0.031,100.000,74159.000,1.000
8.826,5.440,8.010,5.443,4.047,-2.560,-1.398,0.132,0.042,0.979,-0.279,-1.373,0.519,0.031,100.000,74160.000,1.000
9.814,6.758,9.486,6.401,5.080,-2.726,-2.523,0.105,0.041,0.977,-0.279,-1.312,0.427,-0.031,100.000,74161.000,1.000
10.290,7.593,10.293,7.239,6.002,-2.242,-2.682,0.766,0.041,0.976,-0.278,-1.221,0.397,0.031,100.000,74162.000,1.000
10.168,7.796,10.171,7.584,6.379,-1.327,-1.971,1.825,0.040,0.976,-0.277,-1.190,0.244,0.092,100.000,74163.000,1.000
9.324,7.247,8.953,6.928,5.758,-0.484,-0.997,2.432,0.039,0.976,-0.280,-1.068,0.153,0.153,100.000,74164.000,1.000
7.848,6.005,6.788,5.088,4.019,-0.135,-0.431,1.815,0.039,0.976,-0.280,-1.007,0.000,0.183,100.000,74165.000,1.000
6.191,4.505,4.275,2.581,1.648,-0.231,-0.533,-0.021,0.040,0.977,-0.281,-0.793,-0.092,0.122,100.000,74166.000,1.000
4.880,3.303,2.187,0.322,-0.533,-0.320,-1.078,-2.308,0.040,0.977,-0.280,-0.702,-0.153,0.122,100.000,74167.000,1.000
4.145,2.638,1.019,-1.009,-1.915,-0.015,-1.629,-4.101,0.039,0.977,-0.281,-0.549,-0.275,0.214,100.000,74168.000,1.000
3.882,2.313,0.780,-1.268,-2.396,0.663,-1.882,-4.840,0.040,0.974,-0.282,-0.366,-0.305,0.183,100.000,74169.000,1.000
3.883,1.957,1.139,-0.717,-2.256,1.359,-1.809,-4.507,0.042,0.975,-0.281,-0.183,-0.366,0.305,100.000,74170.000,1.000
4.054,1.377,1.741,0.259,-1.841,1.746,-1.536,-3.451,0.044,0.973,-0.283,0.000,-0.427,0.366,100.000,74171.000,1.000
4.419,0.735,2.400,1.350,-1.345,1.793,-1.149,-2.166,0.045,0.972,-0.283,0.092,-0.397,0.305,100.000,74172.000,1.000
4.951,0.391,3.053,2.339,-0.840,1.723,-0.643,-1.117,0.046,0.973,-0.284,0.214,-0.427,0.336,100.000,74173.000,1.000
5.438,0.573,3.606,3.024,-0.427,1.713,-0.059,-0.533,0.045,0.974,-0.284,0.214,-0.488,0.214,100.000,74174.000,1.000
5.478,1.100,3.838,3.163,-0.320,1.679,0.347,-0.346,0.046,0.977,-0.283,0.275,-0.488,0.275,100.000,74175.000,1.000
4.607,1.380,3.418,2.499,-0.803,1.344,0.199,-0.412,0.046,0.976,-0.283,0.336,-0.488,0.458,100.000,74176.000,1.000
2.560,0.736,2.076,0.941,-2.045,0.499,-0.649,-0.721,0.046,0.975,-0.281,0.458,-0.458,0.366,100.000,74177.000,1.000
-0.477,-1.128,-0.212,-1.299,-3.919,-0.809,-1.938,-1.353,0.045,0.976,-0.283,0.488,-0.458,0.244,100.000,74178.000,1.000
-3.908,-3.889,-3.191,-3.823,-6.046,-2.314,-3.160,-2.285,0.047,0.977,-0.283,0.580,-0.488,0.275,100.000,74179.000,1.000
-7.088,-6.828,-6.460,-6.317,-8.043,-3.754,-3.891,-3.400,0.045,0.976,-0.284,0.671,-0.366,0.214,100.000,74180.000,1.000
-9.630,-9.238,-9.558,-8.603,-9.686,-4.968,-4.030,-4.642,0.047,0.976,-0.281,0.671,-0.244,0.092,100.000,74181.000,1.000
-11.442,-10.712,-12.007,-10.479,-10.876,-5.835,-3.797,-5.993,0.047,0.975,-0.284,0.732,-0.214,0.061,100.000,74182.000,1.000
-12.614,-11.208,-13.484,-11.669,-11.609,-6.256,-3.526,-7.335,0.047,0.976,-0.287,0.854,-0.214,0.061,100.000,74183.000,1.000
-13.286,-10.919,-13.933,-11.972,-11.945,-6.151,-3.478,-8.460,0.045,0.979,-0.285,0.793,-0.153,-0.031,100.000,74184.000,1.000
-13.450,-9.995,-13.454,-11.386,-11.877,-5.427,-3.702,-9.099,0.044,0.978,-0.286,0.793,-0.092,-0.122,100.000,74185.000,1.000
-12.925,-8.498,-12.204,-10.119,-11.313,-4.094,-3.969,-8.986,0.046,0.979,-0.286,0.702,-0.031,-0.153,100.000,74186.000,1.000
-11.670,-6.625,-10.492,-8.536,-10.293,-2.515,-4.005,-8.125,0.047,0.979,-0.289,0.732,0.061,-0.153,100.000,74187.000,1.000
-10.069,-4.815,-8.855,-7.108,-9.161,-1.386,-3.829,-6.906,0.046,0.978,-0.288,0.641,0.061,-0.092,100.000,74188.000,1.000
-8.772,-3.573,-7.877,-6.266,-8.404,-1.278,-3.717,-5.852,0.044,0.981,-0.288,0.702,0.214,-0.092,100.000,74189.000,1.000
-8.200,-3.151,-7.780,-6.058,-8.236,-2.142,-3.803,-5.235,0.046,0.981,-0.288,0.671,0.183,-0.122,100.000,74190.000,1.000
-8.241,-3.362,-8.227,-5.993,-8.373,-3.304,-3.832,-4.846,0.045,0.982,-0.290,0.610,0.153,-0.122,100.000,74191.000,1.000
-8.414,-3.754,-8.584,-5.438,-8.271,-3.986,-3.414,-4.180,0.046,0.980,-0.288,0.488,0.122,-0.061,100.000,74192.000,1.000
-8.225,-3.953,-8.372,-4.215,-7.572,-3.863,-2.487,-2.924,0.044,0.982,-0.288,0.427,0.153,-0.122,100.000,74193.000,1.000
-7.448,-3.947,-7.507,-2.751,-6.325,-3.182,-1.397,-1.280,0.044,0.984,-0.285,0.275,0.153,0.000,100.000,74194.000,1.000
-6.226,-4.054,-6.265,-1.705,-4.904,-2.475,-0.559,0.191,0.045,0.985,-0.286,0.031,0.153,0.153,100.000,74195.000,1.000
-4.931,-4.546,-5.081,-1.520,-3.786,-2.171,-0.222,0.994,0.046,0.987,-0.285,-0.092,0.275,0.122,100.000,74196.000,1.000
-3.824,-5.292,-4.280,-2.199,-3.284,-2.322,-0.476,1.041,0.044,0.988,-0.285,-0.366,0.244,0.000,100.000,74197.000,1.000
-2.892,-5.841,-3.856,-3.267,-3.345,-2.567,-1.199,0.667,0.043,0.989,-0.284,-0.549,0.275,0.061,100.000,74198.000,1.000
-1.996,-5.760,-3.473,-3.981,-3.551,-2.400,-1.945,0.473,0.043,0.988,-0.286,-0.671,0.336,0.153,100.000,74199.000,1.000
-1.118,-4.884,-2.779,-3.766,-3.435,-1.620,-2.167,0.988,0.042,0.990,-0.288,-0.946,0.244,0.061,100.000,74200.000,1.000
-0.402,-3.403,-1.768,-2.614,-2.817,-0.466,-1.650,2.312,0.043,0.988,-0.287,-1.160,0.275,0.183,100.000,74201.000,1.000
0.041,-1.777,-0.745,-1.022,-1.802,0.754,-0.560,4.075,0.042,0.986,-0.284,-1.373,0.275,0.214,100.000,74202.000,1.000
0.314,-0.427,0.041,0.421,-0.579,1.939,0.760,5.754,0.042,0.986,-0.287,-1.404,0.275,0.214,100.000,74203.000,1.000
0.647,0.512,0.623,1.347,0.660,3.056,1.869,6.914,0.043,0.986,-0.287,-1.587,0.275,0.244,100.000,74204.000,1.000
1.143,1.107,1.148,1.649,1.677,3.979,2.320,7.219,0.043,0.985,-0.284,-1.678,0.214,0.366,100.000,74205.000,1.000
1.667,1.344,1.632,1.402,2.241,4.550,1.961,6.436,0.044,0.985,-0.286,-1.831,0.214,0.214,100.000,74206.000,1.000
